Year,csgo,apex legends,pubg,fortnite,overwatch,Escape from Tarkov,DayZ,Call of Duty
[2004,0.0,0.0,0.0,0.0,0.5,0.0,6.0,168],
[2005,0.0,0.0,0.0,0.0,0.5,0.0,6.0,147],
[2006,0.0,0.0,0.0,0.0,4.0,0.0,6.0,131],
[2007,0.5,0.0,0.0,0.0,5.0,0.0,6.0,162],
[2008,0.0,0.0,0.0,0.0,6.0,0.0,6.0,248],
[2009,0.0,0.0,0.0,0.0,6.0,0.0,6.0,263],
[2010,0.0,0.0,0.0,0.0,6.0,0.0,6.0,287],
[2011,2.5,0.0,0.0,1.0,6.0,0.0,6.0,267],
[2012,6.5,0.0,0.0,6.0,6.0,0.0,51.0,195],
[2013,8.5,0.5,0.0,6.0,6.0,0.0,58.0,184],
[2014,31.0,2.0,0.0,6.0,8.0,0.0,75.0,157],
[2015,108.0,2.5,1.5,6.0,18.0,1.0,33.0,134],
[2016,110.0,6.0,3.0,6.0,160.0,6.0,19.0,105],
[2017,87.0,3.5,50.0,42.0,143.0,8.0,12.0,99],
[2018,56.0,1.5,228.0,950.0,94.0,8.5,12.0,72],
[2019,49.0,61.5,298.0,693.0,60.0,7.5,15.0,96],
[2020,69.0,33.0,336.0,636.0,47.0,14.5,16.0,147],
[2021,56.0,33.0,229.0,436.0,32.0,11.5,14.0,93],
[2022,60.0,31.0,127.0,334.0,76.0,12.5,20.0,90],
[2023,71.0,16.0,97.0,362.0,49.0,9.5,21.0,86],
[2024,10.0,5.0,29.0,152.0,15.0,4.0,7.0,31]
